player_id,player_name,team_id,team_name,shirtNo
480619,Unai Gómez,53,Athletic Club,20
480758,Marcos Navarro,55,Valencia,36
481851,Hugo Rincón,2783,Girona,2
482951,Matías Moreno,832,Levante,2
483206,Héctor Fort,833,Elche,39
484254,Federico Viñas,61,Real Oviedo,9
489232,Sergi Altimira,54,Real Betis,6
492362,Isaac Romero,67,Sevilla,7
495459,Jon Martín,68,Real Sociedad,31
495542,Ilyas Chaira,61,Real Oviedo,7
497397,Vladyslav Krapyvtsov,2783,Girona,25
497766,Aitor Fraga,68,Real Sociedad,32
497922,Diego Kochen,65,Barcelona,31
498386,Pau Cubarsí,65,Barcelona,5
498798,Gonzalo García,52,Real Madrid,16
498818,Mawuli Mensah,54,Real Betis,28
502424,David López,51,Mallorca,27
504384,Rúben Montero,60,Deportivo Alaves,33
505924,Jozhua Vertrouwd,64,Rayo Vallecano,33
506011,Antoniu Roca,70,Espanyol,20
506112,Marco Esteban,61,Real Oviedo,30
507590,Miguel Sierra,67,Sevilla,29
508331,Javi Rodríguez,62,Celta Vigo,32
508338,Adam El Mokhtari,833,Elche,32
508339,Ali Houary,833,Elche,35
508466,Pol Tristán,70,Espanyol,30
508469,Joselu Pérez,819,Getafe,37
509876,Álvaro Núñez,833,Elche,15
510999,David Otorbi,55,Valencia,27
511064,Oso,67,Sevilla,36
511120,Mikel Jauregizar,53,Athletic Club,18
511365,Darling Bladi,54,Real Betis,36
512879,Gerard Martín,65,Barcelona,18
513640,Álex Forés,61,Real Oviedo,19
514810,Franco Mastantuono,52,Real Madrid,30
515307,Adama Boiro,53,Athletic Club,19
516051,Stanis Idumbo,67,Sevilla,27
516341,Carlos Espí,832,Levante,19
518057,Jorge Cabello,832,Levante,14
518928,Asier Osambela,131,Osasuna,29
519104,Adrián Liso,819,Getafe,23
519969,Youssef Enríquez,60,Deportivo Alaves,3
523331,Alberto Risco,819,Getafe,30
528001,Yoel Lago,62,Celta Vigo,29
528972,Martín Krug,832,Levante,28
531460,Rafel Bauzà,70,Espanyol,28
531674,Christantus Uche,819,Getafe,10
531953,Pelayo Fernández,64,Rayo Vallecano,27
533041,Jirí Letácek,819,Getafe,1
534586,Jano Monserrate,63,Atletico,27
534794,Guille Fernández,65,Barcelona,30
534796,Marc Bernal,65,Barcelona,22
